B	G	R	S_B	S_G	S_R
8.074961754207038	9.100203977562469	33.98725140234574	6.996355889158086	7.166156859847067	20.30094439521504
23.694626474442988	24.48339886413281	30.119266055045873	31.61422074341658	33.26603266539691	34.78619361492956
78.41781681304893	118.16311166875784	104.42785445420326	79.13763455691486	82.90787767172029	81.04714694016485
78.32019977802442	116.89400665926749	102.46448390677025	80.69420719460511	84.66481131406177	82.7994723605158
71.92008879023308	82.17702552719201	108.99778024417314	79.59771388632943	79.42801391500447	81.42173813014388
52.15482796892342	57.144839067702556	62.35072142064373	86.37663636133993	92.17685914190778	99.83286906005743
120.10765815760267	123.92286348501665	120.61098779134295	79.38804902244503	80.68425558869936	81.26850955372691
119.32507433102082	124.12338949454906	120.39791873141725	84.0001909928655	84.55865797340657	83.90777144371951
121.05497382198953	100.39476439790577	79.1303664921466	84.09521911739368	78.30281650148295	85.53403700430091
105.3157093952073	125.3077215671358	144.88341574743248	73.59565897426431	71.42225210373506	68.82594119523456
78.978374836173	113.58671909130625	124.07011795543906	71.32974465467282	83.4977365701979	81.81022656106619
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
114.63207547169812	121.18479467258602	120.29966703662598	83.9656497403191	85.01428835765103	86.26937582489252
118.27418635755684	123.75211769950958	124.23629068212216	76.62059887987499	76.37003733477482	74.4908793931709
158.35571587125418	160.4062153163152	154.492230854606	87.07294384922135	86.93556064050065	87.17536382079193
89.26379066478076	116.5938236680811	148.1826968411127	71.33581594838398	79.0464254610288	80.22850353419996
0.0	0.0	0.0	0.0	0.0	0.0
8.074961754207038	9.100203977562469	33.98725140234574	6.996355889158086	7.166156859847067	20.30094439521504
33.612923462986195	36.51882057716436	39.04642409033877	72.40236871015387	76.07985443304787	80.39654138946854
75.05715871254162	113.56104328523863	101.21698113207547	77.43844755077868	82.66953382659717	81.76360093281919
52.87942332896461	54.96308431629532	64.04019222367846	70.8281620320989	73.21609153517768	73.49438895946916
79.37462834489594	88.27552031714569	113.14172447968285	84.66551333425114	83.62115122954978	84.93265993063777
38.26850690087829	42.28230865746549	45.771016311166875	77.30834593185403	82.25575594380715	88.00816027007922
162.7552719200888	164.90732519422863	158.56326304106548	85.82284710296825	85.72773774271425	86.50803433466109
36.00309278350515	68.02680412371134	62.478350515463916	37.04615386525147	63.091386043414495	60.09694955430608
16.860568878973787	18.689905186837702	60.03067484662577	22.954040530985562	25.473328322369486	67.54871127831862
61.23887409661469	42.26397869912515	43.66451122099658	42.22117490245296	51.52407067380342	56.10273240968736
8.074961754207038	9.100203977562469	33.98725140234574	6.996355889158086	7.166156859847067	20.30094439521504
49.89988392338944	51.804120719674984	60.852872896111435	65.79257945470746	67.99321170045965	68.44762032782991
27.46158235070369	20.234689996196273	21.86877139596805	20.430060209004786	26.628469510360276	32.99440762077071
128.44697720515362	162.01189296333	149.9757185332012	98.12801560341521	85.20384731285455	88.77876928758418
21.36206017338093	14.519632840387558	0.07343192248852627	18.09516372312504	11.896041579895357	0.2627918626223156
65.97051442910916	109.12296110414051	96.04642409033876	65.40825182372818	76.03529648084982	73.82167025428623
52.31714568880079	55.08671952428146	57.970267591674926	89.55503655423026	92.31780284185545	96.24153063031137
43.4263870685889	29.71887287024902	1.5382262996941896	58.81649809642905	40.43120350658422	13.828363498484226
85.55660377358491	121.35516093229745	111.39511653718091	83.76082674370956	86.37533502106865	88.09369909799952
